id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45508189,casa particular in San Diego · ★4.82 · 1 bedroom · 1 bed · 1 private bath,305331494,Sonia,,Midtown District,32.73393,-117.21798,Private room,86,3,68,2023-06-20,2.07,1,133,25,"STR-05283L, 514594"
45514327,Bungalow in San Diego · 1 bedroom · 1 bed · 1.5 shared baths,363191550,Felipe,,Midtown,32.74676,-117.15196,Shared room,20,31,1,2020-09-25,0.03,3,0,0,
45516962,Hostel in San Diego · 1 bedroom · 1 shared bath,341259760,Marin,,Gaslamp Quarter,32.71184,-117.1602,Private room,138,1,2,2020-10-11,0.06,23,19,0,Exempt
45530994,Rental unit in San Diego · ★4.92 · 2 bedrooms · 3 beds · 1 bath,338281143,Laura,,Pacific Beach,32.80378,-117.25806,Entire home/apt,400,3,25,2023-06-19,0.75,2,299,9,"STR-01329L, 634762"
45542562,Home in San Diego · ★4.89 · 3 bedrooms · 3 beds · 2 baths,26031067,Munch,,Grant Hill,32.70677,-117.13322,Entire home/apt,321,2,82,2023-06-21,3.08,1,90,29,"STR-04186L, 644791"
45547571,Tiny home in San Diego · ★4.66 · 1 bedroom · 2 beds · 1 bath,36174487,Lila/Jay,,Little Italy,32.72559,-117.167,Entire home/apt,85,1,235,2023-06-20,7.03,4,200,80,Exempt
45547596,Guesthouse in San Diego · ★4.71 · 1 bedroom · 1 bed · 1 bath,66677613,Jack,,Mira Mesa,32.90869,-117.13039,Entire home/apt,92,1,7,2023-06-11,0.46,1,52,4,"STR-06484L, 647723"
45551117,Home in San Diego · ★4.96 · 4 bedrooms · 7 beds · 2 baths,214201383,Arlyn,,Talmadge,32.75927,-117.08681,Entire home/apt,498,2,75,2023-05-21,2.26,1,293,20,"STR-01606L, 636744"
45563477,Condo in San Diego · ★4.77 · 2 bedrooms · 3 beds · 1 bath,368929940,Kelekalani,,Pacific Beach,32.79897,-117.25628,Entire home/apt,243,7,65,2023-06-19,2.00,1,111,17,"STR-00799L, 610181"
45564986,Condo in San Diego · ★5.0 · 1 bedroom · 1 bed · 1 private bath,30178670,Christian,,Normal Heights,32.76512,-117.12258,Private room,57,32,11,2023-03-25,0.41,1,0,4,
45579246,Condo in San Diego · ★3.90 · 1 bedroom · 1 bed · 1 shared bath,845005,Tatiana,,Bay Park,32.80459,-117.19581,Private room,45,31,10,2022-05-29,0.31,1,364,0,
45581073,Rental unit in San Diego · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,17844970,StevieAnn,,Pacific Beach,32.80455,-117.25274,Private room,105,3,77,2023-06-07,2.32,1,71,37,
45581529,Condo in San Diego · ★4.83 · 3 bedrooms · 8 beds · 2 baths,457865527,Luxe,,Mission Bay,32.76708,-117.25123,Entire home/apt,1157,2,179,2023-06-09,5.36,52,112,54,"STR-03828L, 519171"
45592793,Guest suite in San Diego · ★4.80 · 1 bedroom · 1 bed · 1 bath,167309906,Katrina,,Moreno Mission,32.76891,-117.19845,Entire home/apt,261,1,44,2023-04-30,1.47,15,127,6,"STR-00207L, 619541"
45596123,Rental unit in San Diego · ★4.79 · Studio · 2 beds · 1 bath,324368071,San Diego,,Old Town,32.74912,-117.19192,Entire home/apt,169,1,131,2023-06-08,3.98,21,171,40,Exempt
45596353,Condo in San Diego · ★4.94 · 3 bedrooms · 4 beds · 2 baths,3017970,Surf Style,,Mission Bay,32.77733,-117.25298,Entire home/apt,1581,3,16,2023-05-01,0.51,146,279,6,"STR-05018L, 636702"
45606709,Guesthouse in San Diego · ★4.99 · 2 bedrooms · 2 beds · 1.5 baths,212474190,Heather,,Ocean Beach,32.73365,-117.25138,Entire home/apt,229,1,146,2023-06-24,4.40,1,124,45,"STR-01340L, 636216"
45608526,Home in San Diego · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,369429599,Paul,,Carmel Valley,32.9466,-117.22367,Private room,120,31,4,2022-08-29,0.18,1,23,3,
45609001,Home in San Diego · ★4.81 · 4 bedrooms · 4 beds · 3 baths,167309906,Katrina,,Moreno Mission,32.77077,-117.19722,Entire home/apt,652,2,52,2023-06-20,1.64,15,125,11,"STR-00207L, 619541"
45623105,Rental unit in San Diego · 2 bedrooms · 2 beds · 1.5 baths,205127323,Damon,,Mission Bay,32.76248,-117.25064,Entire home/apt,370,31,2,2022-07-30,0.16,1,310,1,
45641083,Rental unit in San Diego · ★4.75 · 1 bedroom · 1 bed · 5 shared baths,301775154,Neil,,Gaslamp Quarter,32.71208,-117.15971,Private room,56,1,147,2023-06-07,4.43,17,323,55,
45641336,Home in San Diego · ★4.79 · 2 bedrooms · 3 beds · 1 bath,369753554,Lynn,,North Hills,32.75295,-117.14191,Entire home/apt,289,2,90,2023-06-19,2.71,1,143,31,"STR-01084L, 623701"
